Price,Close,High,Low,Open,Volume,Signal
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2024-01-02,366.7073669433594,371.68090924219496,362.653379124267,369.6637976615887,25258600,0
2024-01-03,366.4404296875,369.0705777416299,364.3738912539091,364.86827930524817,23083500,1
2024-01-04,363.810302734375,368.91239134112124,363.04895595417344,366.5096725142683,20901500,0
2024-01-05,363.6224365234375,367.88405940220275,362.38646631091734,364.8287446578594,20987000,0
2024-01-08,370.4845275878906,370.988813066157,364.86828645661416,365.1550098059731,23134000,1
2024-01-09,371.57220458984375,371.76994171839436,367.0238281824233,367.8346318821267,20830000,1
2024-01-10,378.4738464355469,379.8581572234937,372.096258198453,372.14568493728495,25514200,1
2024-01-11,380.3129577636719,386.29504112370273,376.1106593210736,381.6675761983364,27850800,0
2024-01-12,384.10986328125,384.3174978189153,380.33273123391484,381.1632995596287,21645700,1
2024-01-16,385.8896484375,389.6074563331201,383.2693977344923,389.2416139939335,27202300,0
2024-01-17,385.0986328125,385.7314338319448,380.4909325183697,383.6253660644491,22234100,1
2024-01-18,389.4492492675781,389.56789757510035,385.74133878224427,387.32338662433057,23392100,1
2024-01-19,394.19537353515625,394.19537353515625,389.0833879187689,391.31803151810533,29272000,1
2024-01-22,392.0596008300781,396.12345590728927,389.1723614900859,395.5301842429018,27016900,0
2024-01-23,394.4227600097656,394.8973833764225,389.5085418380042,391.30812148964645,20525900,1
2024-01-24,398.0416564941406,401.0772059977977,395.95535365827067,397.03311585654615,24867000,1
2024-01-25,400.3257751464844,402.44177048645173,398.0120426913666,399.7819603610059,21021200,1
2024-01-26,399.3963317871094,401.61121081981145,397.9131676038507,399.83139569486946,17803300,0
2024-01-29,405.1213684082031,405.3784598651388,399.7918504359062,401.50244405119065,24510200,1
2024-01-30,404.0040283203125,408.4139613345208,401.8880631298829,407.6328499314226,33477600,0
2024-01-31,393.1175537109375,410.6584606889638,392.75171141437784,402.39227753473756,47871100,0
2024-02-01,399.24798583984375,403.4206219107263,397.29019842931785,397.3198605033387,30657700,1
2024-02-02,406.6044616699219,408.0184040861515,399.03043400546983,399.27762800166585,28245000,1
2024-02-05,401.09698486328125,406.5451503675642,399.45561305568305,405.2992829313639,25352300,0
2024-02-06,400.9388122558594,403.3909878537456,398.38778318773774,401.3244494199643,18382600,0
2024-02-07,409.4027404785156,409.6499345085534,402.82738531452173,402.8669448083425,22340500,1
2024-02-08,409.4620361328125,410.89577347726316,407.89978324873107,409.40271198373665,21225300,1
2024-02-09,415.82977294921875,416.0967618057892,410.4310639420329,410.58927173757974,22032800,1
2024-02-12,410.59918212890625,416.0176559661079,410.0948966506066,415.83968350613833,21202900,0
2024-02-13,401.759521484375,405.4674319451174,398.86241468639423,400.39500560681336,27824900,1
2024-02-14,405.6426696777344,405.989387335356,400.7689119546156,404.23602806912544,20401200,1
2024-02-15,402.7402038574219,405.2860649354581,400.49154229797136,404.30537605508795,21825500,0
2024-02-16,400.26373291015625,404.45400167684636,399.6495628327148,404.1270851963654,22281100,0
2024-02-20,399.0056457519531,400.68965547755954,394.27055684913546,399.4513996951192,24307900,0
2024-02-21,398.4013671875,398.51034941803397,393.4879766336977,396.41027241644326,18631100,1
2024-02-22,407.78240966796875,408.9513159326477,404.7313605611897,406.33613530267354,27009900,1
2024-02-23,406.48468017578125,411.9528065802778,405.1275567366277,411.76461952225566,16295900,0
2024-02-26,403.7110290527344,408.2876177161092,403.5326972396102,407.5941823661443,16193500,0
2024-02-27,403.6515808105469,404.4836850623454,400.055681208624,404.1567686089776,14835800,0
2024-02-28,403.8893127441406,405.45445472615467,401.51186772663095,404.3449824000404,13183100,0
2024-02-29,409.75372314453125,410.3084593316979,402.1062540147567,404.80069987993255,31947300,1
2024-03-01,411.59619140625,411.96271025359846,407.01960321238755,407.4059232676718,17800300,1
2024-03-04,411.0216979980469,413.4288600615765,408.44611984108144,409.55559222110224,17596000,1
2024-03-05,398.8669128417969,410.3579315766557,396.875818269098,410.07064779480004,26919200,0
2024-03-06,398.31219482421875,401.35335816221044,394.6469759902315,399.1839316978577,22344100,0
2024-03-07,405.2960205078125,405.929991794264,398.4608239093344,402.30437497315796,18718500,1
2024-03-08,402.40338134765625,406.563932548316,400.5311242381038,404.1270235900873,17971700,0
2024-03-11,400.7193908691406,401.8684959158896,397.4900401967336,399.9665518757127,16120800,1
2024-03-12,411.3782653808594,411.66554917132913,402.9680422398846,403.7902307329295,22457000,1
2024-03-13,411.199951171875,414.25099985774233,407.5842506420183,414.1717647960068,17115900,0
2024-03-14,421.2248840332031,423.80046200765156,414.06280198030794,416.29166230285614,34157300,1
2024-03-15,412.507568359375,418.62949734684355,408.91166893317825,415.35059863846544,45049800,0
2024-03-18,413.3990783691406,416.77704335143346,409.8923299645461,410.35791529010197,20106000,1
2024-03-19,417.4506530761719,417.70821992442677,411.64569488735077,413.9042719765494,19837900,1
2024-03-20,421.23480224609375,421.95792425172124,416.7077319976527,418.0351385254577,17860100,1
2024-03-21,425.3359069824219,426.7722957944647,423.1466792053097,425.7915766495499,21296200,0
2024-03-22,424.7118225097656,425.8212948665726,422.0669250575301,425.6628247277611,17636500,0
2024-03-25,418.88702392578125,423.39429274982996,417.64876824294123,421.24466758284495,18060500,0
2024-03-26,417.6883850097656,421.98760494943645,417.3912157495225,421.61117039922806,16725600,0
2024-03-27,417.4704895019531,420.4621347429845,415.073243298201,420.4522190231072,16705000,0
2024-03-28,416.76715087890625,417.9063400745122,415.1821775398297,417.00488629896955,21871200,0
2024-04-01,420.58099365234375,423.8698081123032,418.253066843913,419.9668236498753,16316000,1
2024-04-02,417.48040771484375,418.41157846327263,413.91422508584526,416.1628866591322,17912000,1
2024-04-03,416.4997253417969,419.2833219106777,415.1524873360607,415.7864888048433,16502300,1
2024-04-04,413.953857421875,424.6424895808556,413.64677241260966,420.9970416568271,19370900,0
2024-04-05,421.5220642089844,422.5027833332265,414.38972913104834,416.06385334615516,16544300,1
2024-04-08,420.600830078125,423.26555903906655,419.3229415986936,421.175397711729,14272400,0
2024-04-09,422.2749328613281,423.72120713043927,417.65871174097106,422.43343322697575,12512300,0
2024-04-10,419.2832946777344,420.04604930389615,415.7567448715327,418.223340545814,16216600,1
2024-04-11,423.909423828125,425.33589688609106,418.39174889077384,421.8192626102262,17966400,1
2024-04-12,417.93609619140625,421.1852782373019,415.82610344793704,420.0658901447868,19232100,0
2024-04-15,409.75372314453125,422.80988521460824,409.54567440120263,422.5919509817317,20273500,0
2024-04-16,410.6848449707031,414.46896182763265,409.8428552388163,410.6749594816062,16765600,1
2024-04-17,407.9705810546875,414.944445667743,406.4747584853447,413.3297553873522,15855500,0
2024-04-18,400.4717102050781,408.02014264055606,400.15473970896494,406.7719711724091,21029900,0
2024-04-19,395.3701171875,401.67037838778936,394.03279488372993,400.23398957432255,30276500,0
2024-04-22,397.1927795410156,399.0650365930518,392.0317384607879,396.32104272721153,20286900,1
2024-04-23,403.7407531738281,404.36483895374073,399.2731164319855,400.4420226888204,15734500,1
2024-04-24,405.21673583984375,408.5947013251243,402.9581584463572,405.7120381650018,15065300,0
